    Name							Quantity
    Axle Shaft						6
    Axle Shaft Cover					6
    Battery Holder					1
    Bevel Drive Gear 16T				2
    Bumper							1
    Central Diff Case.Shape 3			1
    Central Diff Case.Shape 5			1
    Central Drive Shaft				2
    Central Drive Shaft Joint			2
    Chassie Plate (2 parts: Front & Rear)	1
    C-Hub							2
    Diff Bevel Gear 40T				2
    Diff Case.Shape 2					3
    Diff Planet Gear					6
    Diff Sun Gear					6
    Differential Housing Lower			2
    Differential Housing Upper			2
    Left Shield						1
    OpenRC Truggy Rim					4
    OpenRC Truggy Tire				4
    Pivot Shaft						2
    Rear C-Hub						2
    Right Shield						1
    Servo Arm						1
    Servo Holder for BMS-620MG Servo		1
    Servo Pin						1
    Shock Spacer						4
    Shock Tower						2
    Simple Body Holder				2
    Spur Gear Drilled - m=0,7 Z=65		1
    Stabilizer						1
    Steering Block					2
    Steering Part 1					1
    Steering Part 2					1
    Steering Pin						2
    Steering Plate					1
    Top Deck Front					1
    Top Deck Rear					1
    Turnbuckle 74mm					4
    Turnbuckle Spacer					4
    Wheel Hex Hub					4
    Wishbone Front For 118mm Driveshaft	2
    Wishbone Pin Holder				2
    Wishbone Rear For 118mm Driveshaft		2
